id,x,y
1,-37.8146194639988,144.974443493997
2,-37.8101395504475,144.970454457408
3,-37.8198915559746,144.957305009439
4,-37.8145235874951,144.953631944152
5,-37.8141,144.963
6,-37.8116596607771,144.965908527853
7,-37.8137849091095,144.959213932074
8,-37.8120843077848,144.957673808202
9,-37.8149083072221,144.970276602126
10,-37.8152491567873,144.973141590731
11,-37.8104897687082,144.969832468856
12,-37.8151190522889,144.96723197737
13,-37.8193757585424,144.960727036601
14,-37.8149399050361,144.957106440071
15,-37.8149042321436,144.95946785250499
16,-37.8123419552484,144.957472642577
17,-37.8125510113015,144.969121215608
18,-37.8129779900039,144.965003861892
19,-37.8156359389461,144.968918857027
20,-37.814217327179,144.968686201577
21,-37.8114984391681,144.957850903931
22,-37.817553238482,144.963679398945
23,-37.813824367361,144.955642494811
24,-37.8174989007304,144.957333739539
25,-37.8144143360859,144.96420302903
26,-37.8166847673776,144.960552809969
27,-37.8097648002915,144.966550913624
28,-37.8182016487519,144.962822754891
29,-37.8177582143979,144.959058336482
30,-37.815433858078,144.970348705592
31,-37.814437293892,144.964244423512
32,-37.8124504811888,144.960225440743
33,-37.815087858661,144.956591549827
34,-37.8164818671844,144.956803946587
35,-37.8165693086434,144.962634988591
36,-37.8181820934244,144.955434647219
37,-37.8109340768669,144.971181092078
38,-37.8098144288043,144.971040363255
39,-37.8117710858626,144.96878837649
40,-37.8131403696746,144.972190053237
41,-37.8184541121816,144.95560243873
42,-37.8176028477143,144.96534032696
43,-37.8130227611881,144.957437930358
44,-37.8119614616741,144.957933510234
45,-37.816312957115,144.954873603908
46,-37.8106196747047,144.966153227786
47,-37.8189001771028,144.956572806308
48,-37.8162054828736,144.956296370368
49,-37.8173763955731,144.958209716415
50,-37.8124695915924,144.965174730735
51,-37.8153044868753,144.973835350462
52,-37.8155901574504,144.957887460721
53,-37.8151532126849,144.954355515074
54,-37.811980895709,144.961011885544
55,-37.8158378453171,144.956791941508
56,-37.8182278090232,144.962049705726
57,-37.8097542508655,144.965308939212
58,-37.8160148328495,144.962187200385
59,-37.8182472972016,144.957882576574
60,-37.8116906991321,144.972941307308
61,-37.8103077236425,144.963451936497
62,-37.815016469211,144.961033078234
63,-37.8159827483734,144.970375907796
64,-37.8100528523933,144.972459762958
65,-37.8166236917746,144.961993260887
66,-37.815506644006,144.958866911813
67,-37.8083255987385,144.971056923782
68,-37.8152929014038,144.958198066484
69,-37.8154023315196,144.968621130847
70,-37.8204226954421,144.955592189651
71,-37.8163631945692,144.957518468469
72,-37.8111450642057,144.95869015467
73,-37.8149121923006,144.967245344378
74,-37.8128139702454,144.959642327854
75,-37.8160927182353,144.959514651456
76,-37.8144272895066,144.961860206088
77,-37.8152880608233,144.957556658671
78,-37.8126236910072,144.954319982737
79,-37.8143447794488,144.966172315608
80,-37.813411726044,144.963344804382
81,-37.8186346295942,144.954123760489
82,-37.8146141257657,144.959404360684
83,-37.8118728706416,144.959906449003
84,-37.8135963936606,144.965662036669
85,-37.8166496110394,144.962438246785
86,-37.813837494013,144.967860051647
87,-37.8102710922643,144.961485621364
88,-37.8172807891892,144.954706288457
89,-37.8107302450123,144.96464952572
90,-37.8093791141169,144.966616951582
91,-37.8154236551672,144.971120548766
92,-37.8142820977493,144.955801929263
93,-37.8139898314354,144.955264019038
